T_DB (K),P (Pa),x_w (mol/mol),x_w_sat(mol/hmol),x_w_gas (mol/mol),h_gas (J/mol),s_gas (J/mol/K),v_gas (m3/mol),x_w_liq (mol/mol),h_liq (J/mol),s_liq (J/mol/K),v_liq (m3/mol),x_gas (mol/mol),RH,T_WB (K)
348.048663,117160.842,0.14376461,0.330239466,0.14376461,8701.439292,27.03390416,0.024682284,1,5650.820425,18.27639191,1.85E-05,1,0.435334431,330.8725564
257.442181,154174.741,0.00045229,0.001010797,0.00045229,-441.8889087,-5.141691016,0.013865777,1,0,0,0,1,0.447458734,256.596982
259.243152,181834.997,0.01690143,0.001012815,0.001012815,-366.5935814,-6.215649163,0.011836719,1,0,0,0,0.984095276,1,259.243152
289.593226,90819.8551,0.10597298,0.020678439,0.020678439,1412.440815,5.989532382,0.026500155,1,1245.046565,4.420447016,1.80E-05,0.91290446,1,289.593226
368.012263,110869.9337,0.01521041,0.761962872,0.01521041,3459.904429,10.48766434,0.02759985,1,7161.593415,22.49741102,1.87E-05,1,0.019962141,308.8231489
298.172386,168106.6785,0.09520852,0.018998098,0.018998098,1581.963156,1.447293427,0.014737906,1,1892.964338,6.6205448,1.81E-05,0.922313686,1,298.172386
365.145212,106904.9441,0.06045108,0.710695146,0.06045108,5432.091607,17.40341054,0.028396927,1,6944.164451,21.90448029,1.87E-05,1,0.085059087,318.0634646
352.344381,127434.8054,0.06709683,0.362658639,0.06709683,5353.949708,15.85477886,0.02298407,1,5975.580635,19.20322562,1.85E-05,1,0.185013737,320.8482924
295.677647,77416.9844,0.02018998,0.035407686,0.02018998,1569.281669,7.852103128,0.031744798,1,1703.500939,5.987972846,1.81E-05,1,0.570214616,289.5275993
370.145952,115581.0523,0.13192531,0.790056236,0.13192531,8827.536686,27.34883458,0.026617132,1,7323.529459,22.93592991,1.88E-05,1,0.166982177,330.7680147
373.46888,166007.2283,0.1752275,0.622015314,0.1752275,10888.58142,30.57120513,0.018689027,1,7576.482878,23.61372162,1.88E-05,1,0.281709302,343.5378787
313.660657,154779.7927,0.11078303,0.049331512,0.049331512,3406.296779,8.200801681,0.016839459,1,3058.953755,10.43361748,1.82E-05,0.935359677,1,313.660657
365.858515,164674.9757,0.18658611,0.475718109,0.18658611,11172.99481,31.5618121,0.01845161,1,6999.030909,22.05163841,1.87E-05,1,0.392219902,344.1231929
270.298509,155881.1072,0.18685264,0.00311168,0.00311168,52.60217594,-3.344536356,0.014402745,1,0,0,0,0.815685512,1,270.298509
329.908521,161154.4257,0.16702421,0.107124373,0.107124373,6496.378883,17.66370741,0.017005607,1,4282.8803,14.23760753,1.83E-05,0.932913571,1,329.908521
360.848681,171178.3534,0.09002354,0.378707792,0.09002354,6643.355125,17.40502072,0.01752144,1,6619.581168,21.00699031,1.86E-05,1,0.237712405,331.4327474
354.663082,146239.1781,0.07294701,0.347317231,0.07294701,5686.743185,15.75027865,0.020159669,1,6151.164965,19.6989382,1.86E-05,1,0.210029919,324.7015985
260.74885,140421.916,0.14856081,0.001501353,0.001501353,-297.0790264,-3.799786372,0.015422119,1,0,0,0,0.852719423,1,260.74885
337.441122,117431.6051,0.14415906,0.207916107,0.14415906,8400.699372,26.14057025,0.023870758,1,4850.150211,15.9401468,1.84E-05,1,0.693352055,330.1522312
347.33907,162046.1808,0.17462506,0.232125062,0.17462506,10070.01508,28.49622908,0.017797213,1,5597.874779,18.12173027,1.85E-05,1,0.752288696,341.1970759
307.58364,92267.4548,0.16263303,0.059374965,0.059374965,3685.775371,13.41202817,0.027704289,1,2600.409225,8.961007714,1.81E-05,0.890223988,1,307.58364
280.307296,96378.0398,0.00604861,0.010551207,0.00604861,481.4869899,2.219265187,0.024169317,1,543.7252986,1.958650588,1.80E-05,1,0.573262394,276.8333712
281.499118,191900.104,0.12506538,0.005766117,0.005766117,496.2774728,-3.451286178,0.012184504,1,635.5749761,2.27950411,1.80E-05,0.880008854,1,281.499118
258.202356,163697.7571,0.15884471,0.001021727,0.001021727,-394.959247,-5.452791173,0.013096919,1,0,0,0,0.8420156,1,258.202356
335.56242,104723.1018,0.11128359,0.214049558,0.11128359,6859.177017,22.3525669,0.026627182,1,4708.266859,15.51919678,1.83E-05,1,0.519896378,323.1975047
337.020707,121153.89,0.07355819,0.197769701,0.07355819,5193.739498,15.89696023,0.023120603,1,4818.495417,15.84607728,1.84E-05,1,0.371938622,319.3490455
343.18189,193414.6559,0.06666733,0.162990967,0.06666733,5058.930792,11.53310125,0.014746626,1,5284.444975,17.21223707,1.84E-05,1,0.409024691,326.8427996
334.162115,51789.0349,0.10414954,0.405057322,0.10414954,6500.136312,27.09023066,0.053633835,1,4601.875632,15.20437908,1.83E-05,1,0.257122966,309.7192121
342.00621,99755.0791,0.08701166,0.299412284,0.08701166,5952.392132,19.88405177,0.028496652,1,5194.32558,16.95422208,1.84E-05,1,0.290608184,319.0492364
341.533657,145528.6752,0.09208654,0.201356031,0.09208654,6164.330278,17.41806925,0.019502918,1,5159.338866,16.84938719,1.84E-05,1,0.457331918,326.6442865
358.028378,101686.3804,0.03907713,0.569289422,0.03907713,4251.441849,14.06976891,0.029273195,1,6405.116024,20.41391928,1.86E-05,1,0.068641939,311.893662
